#Time_(min)	IL6 (ng/mL)	IFNɣ (ng/mL)	OS-M (ng/mL)	STAT1AvgNuc-Cyt	STAT3AvgNuc-Cyt	STAT1NucAvg	STAT3NucAvg	TotDNA
120.000000	0.000000	50.000000	0.000000	2.672807	1.516535	2.943758	2.507123	4.706699
120.000000	16.700000	50.000000	0.000000	2.625752	1.539512	2.920435	2.485355	4.683727
120.000000	16.700000	16.700000	0.000000	2.590973	1.512286	2.902171	2.477873	4.653043
120.000000	16.700000	5.600000	0.000000	2.583192	1.499919	2.900962	2.474636	4.657254
120.000000	16.700000	0.000000	0.000000	2.167229	1.452797	2.773915	2.486139	4.669835
120.000000	16.700000	0.000000	25.000000	2.196516	2.082283	2.775142	2.612909	4.667973
120.000000	16.700000	0.000000	8.300000	2.193307	2.022912	2.776275	2.619028	4.665360
120.000000	16.700000	0.000000	2.800000	2.204962	1.937655	2.785567	2.578109	4.680071
120.000000	0.000000	16.700000	25.000000	2.562582	2.064530	2.896135	2.611258	4.648210
120.000000	0.000000	16.700000	8.300000	2.585789	1.974217	2.906583	2.573743	4.651747
120.000000	0.000000	16.700000	2.800000	2.580495	1.898605	2.899582	2.564524	4.657841
120.000000	0.000000	16.700000	0.000000	2.663353	1.509594	2.939572	2.500299	4.708103
120.000000	5.600000	50.000000	0.000000	2.639694	1.526498	2.927364	2.474971	4.680473
120.000000	5.600000	16.700000	0.000000	2.616190	1.548546	2.919634	2.483784	4.676257
120.000000	5.600000	5.600000	0.000000	2.607014	1.526234	2.916170	2.477788	4.682270
120.000000	5.600000	0.000000	0.000000	2.159683	1.460733	2.767037	2.470784	4.678173
120.000000	5.600000	0.000000	25.000000	2.189879	2.123250	2.781837	2.633871	4.676726
120.000000	5.600000	0.000000	8.300000	2.218801	2.039308	2.789208	2.602847	4.690182
120.000000	5.600000	0.000000	2.800000	2.210414	1.930460	2.790719	2.570697	4.681268
120.000000	0.000000	5.600000	25.000000	2.556300	2.064314	2.894769	2.608175	4.678131
120.000000	0.000000	5.600000	8.300000	2.577078	1.961593	2.907686	2.574098	4.673821
120.000000	0.000000	5.600000	2.800000	2.576794	1.844298	2.898409	2.538022	4.662496
120.000000	0.000000	5.600000	0.000000	2.663385	1.483584	2.945439	2.495554	4.731302
120.000000	0.000000	0.000000	0.000000	2.219151	1.439421	2.785172	2.476764	4.771797
120.000000	0.000000	0.000000	25.000000	2.262853	2.068589	2.801458	2.614671	4.730343
120.000000	0.000000	0.000000	8.300000	2.228404	1.970154	2.804385	2.592466	4.730983
120.000000	0.000000	0.000000	2.800000	2.227817	1.900604	2.787457	2.565974	4.745575
